Datetime,Rad_Wm2,AirTemp_degC,AirPress_hPa,RH_%,WS10_ms,WD10_degN,Albedo,Clouds_Tot
2018-06-21 01:00:00,0.008,13.63,826.0275,88.6,1.799,321.5,0.2,0.2
2018-06-21 02:00:00,0.009,13.02,825.8137,91.1,1.41,279.3,0.2,0.2
2018-06-21 03:00:00,0.01,13.56,825.5487,90,1.621,329.8,0.2,0.2
2018-06-21 04:00:00,0.013,12.48,825.1015,92.6,0.669,310.8,0.2,0.2
2018-06-21 05:00:00,3.908,11.77,824.759,93.2,1.173,292,0.2,0.2
2018-06-21 06:00:00,38.51,12.71,825.0655,92.3,1.924,309.3,0.2,0.2
2018-06-21 07:00:00,134.8,13.42,825.7255,88,1.153,265.8,0.2,0.1
2018-06-21 08:00:00,405.2,14.52,826.2478,80.9,1.95,243.5,0.2,0.0
2018-06-21 09:00:00,627.4,16.19,826.343,72.13,2.177,254.3,0.2,0.0
2018-06-21 10:00:00,627.5,16.35,826.4337,71.59,2.251,337.6,0.2,0.0
2018-06-21 11:00:00,357.4,15.34,826.6635,77.05,1.947,2.297,0.2,0.0
2018-06-21 12:00:00,870,16.29,827.2211,74.96,2.328,270.5,0.2,0.0
2018-06-21 13:00:00,662.4,16.79,826.5556,64.75,2.103,305.6,0.2,0.0
2018-06-21 14:00:00,521,16.59,826.0751,59.76,2.46,12.82,0.2,0.0
2018-06-21 15:00:00,872,17.58,825.9541,55.17,2.394,27.99,0.2,0.0
2018-06-21 16:00:00,755.4,17.31,825.4758,53.21,3.562,124.9,0.2,0.0
2018-06-21 17:00:00,460.1,16.65,825.1903,58.46,3.515,135.7,0.2,0.0
2018-06-21 18:00:00,140.6,15.78,824.4811,59.78,3.069,157.6,0.2,0.0
2018-06-21 19:00:00,105.2,15.32,824.1842,71.99,2.808,158.2,0.2,0.0
2018-06-21 20:00:00,35.65,14.1,823.8784,81,2.669,126.4,0.2,0.0
2018-06-21 21:00:00,1.69,13.07,823.8578,85,1.022,148.3,0.2,0.1
2018-06-21 22:00:00,0.011,12.44,824.2565,85.9,1.34,133.8,0.2,0.1
2018-06-21 23:00:00,0.007,11.57,824.3341,89.9,1.018,127.9,0.2,0.1
2018-06-22 00:00:00,0.009,10.72,824.0593,93.8,0.478,170.6,0.2,0.1
2018-06-22 01:00:00,0.007,9.83,823.6705,97.2,0.479,321,0.2,0.2
2018-06-22 02:00:00,0.007,9.43,823.1765,95.7,0.688,275.1,0.2,0.2
2018-06-22 03:00:00,0.007,9.87,822.9019,100,1.234,287.6,0.2,0.2
2018-06-22 04:00:00,0.009,9.03,822.7576,97.2,2.462,139.5,0.2,0.2
2018-06-22 05:00:00,6.474,8.45,822.7469,99.9,1.914,101.7,0.2,0.2
2018-06-22 06:00:00,87.1,8.57,823.0649,91.8,0.719,117.7,0.2,0.2
2018-06-22 07:00:00,184.3,8.35,823.2884,98.3,1.168,167,0.2,0.2
2018-06-22 08:00:00,323,8.77,823.4248,98.9,2.005,150.9,0.2,0.2
2018-06-22 09:00:00,366.2,8.33,823.8597,91.8,3.347,147.8,0.2,0.2
2018-06-22 10:00:00,774,9.4,824.3209,88.9,3.991,144.6,0.2,0.1
2018-06-22 11:00:00,897,9.8,824.7,84.8,3.63,152.1,0.2,0.1
2018-06-22 12:00:00,644.2,10.67,824.7173,87.9,2.223,177.5,0.2,0.1
2018-06-22 13:00:00,685.4,10.75,824.7749,83.3,2.96,247.5,0.2,0.1
2018-06-22 14:00:00,419.2,10.44,824.7569,84.5,2.591,290,0.2,0.1
2018-06-22 15:00:00,442,10.45,824.8123,79.52,2.898,295.4,0.2,0.0
2018-06-22 16:00:00,282.4,10.33,824.8687,67.91,2.186,265.4,0.2,0.0
2018-06-22 17:00:00,335.1,10.09,824.9434,62.39,2.402,141.1,0.2,0.0
2018-06-22 18:00:00,465.5,9.91,825.0922,62.03,2.707,103.2,0.2,0.1
2018-06-22 19:00:00,163.2,8.86,824.9149,67.85,1.54,128.7,0.2,0.2
2018-06-22 20:00:00,19.7,7.259,824.4905,77.99,0.579,278.7,0.2,0.2
2018-06-22 21:00:00,4.642,5.842,824.4915,84.2,0.969,305.1,0.2,0.2
2018-06-22 22:00:00,0.018,5.445,824.6586,79.17,2.255,49.22,0.2,0.2
2018-06-22 23:00:00,0.01,4.962,824.7954,81.9,2.669,46.9,0.2,0.3
2018-06-23 00:00:00,0.008,4.628,824.6971,86,2.315,28.66,0.2,0.3
2018-06-23 01:00:00,0.008,4.146,824.4063,89.5,0.848,2.59,0.2,0.3
2018-06-23 02:00:00,0.009,3.779,824.2516,82.4,0.582,334.2,0.2,0.3
2018-06-23 03:00:00,0.009,3.561,823.9714,81.8,0.648,318.8,0.2,0.3
2018-06-23 04:00:00,0.012,3.535,823.7761,79.44,1.154,287.7,0.2,0.3
2018-06-23 05:00:00,3.397,3.331,823.8755,82.4,0.805,281.3,0.2,0.3
2018-06-23 06:00:00,103.2,4.376,824.2883,75.94,0.246,320,0.2,0.3
2018-06-23 07:00:00,259.3,7.989,824.4276,67.26,0.1,155.5,0.2,0.2
2018-06-23 08:00:00,433,8.43,824.6041,62.92,1.52,170.2,0.2,0.2
2018-06-23 09:00:00,600.4,9.04,824.8286,65.8,2.604,156.4,0.2,0.2
2018-06-23 10:00:00,742.6,10.1,825.0107,67.54,2.89,135.3,0.2,0.0
2018-06-23 11:00:00,859,11.1,825.0718,58.9,3.215,139.7,0.2,0.0
2018-06-23 12:00:00,932,11.43,825.1271,52.63,3.528,148.5,0.2,0.0
2018-06-23 13:00:00,960,11.45,825.3087,73.29,2.954,272.6,0.2,0.0
2018-06-23 14:00:00,840,11.69,825.3034,76.7,3.119,282.3,0.2,0.0
2018-06-23 15:00:00,829,11.94,825.1801,75.88,2.858,284.5,0.2,0.0
2018-06-23 16:00:00,733.8,12.24,825.0679,73.64,2.983,304.1,0.2,0.1
2018-06-23 17:00:00,753.7,12.53,824.962,66.13,2.425,283,0.2,0.0
